Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_allocated_average;azure_allocated_count;azure_allocated_maximum;azure_allocated_minimum;azure_allocated_total,Resources that are allocated,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_poolid;metadata_sku;metadata_images;metadata_providername,average
azure_allocationdurationms_average;azure_allocationdurationms_count;azure_allocationdurationms_maximum;azure_allocationdurationms_minimum;azure_allocationdurationms_total,Average time to allocate requests (ms),Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_poolid;metadata_type;metadata_resourcerequesttype;metadata_image,average
azure_count_average;azure_count_count;azure_count_maximum;azure_count_minimum;azure_count_total,Number of requests in last dump,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_requesttype;metadata_status;metadata_poolid;metadata_type;metadata_errorcode;metadata_failurestage,count
azure_notready_average;azure_notready_count;azure_notready_maximum;azure_notready_minimum;azure_notready_total,Resources that are not ready to be used,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_poolid;metadata_sku;metadata_images;metadata_providername,average
azure_pendingreimage_average;azure_pendingreimage_count;azure_pendingreimage_maximum;azure_pendingreimage_minimum;azure_pendingreimage_total,Resources that are pending reimage,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_poolid;metadata_sku;metadata_images;metadata_providername,average
azure_pendingreturn_average;azure_pendingreturn_count;azure_pendingreturn_maximum;azure_pendingreturn_minimum;azure_pendingreturn_total,Resources that are pending return,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_poolid;metadata_sku;metadata_images;metadata_providername,average
azure_provisioned_average;azure_provisioned_count;azure_provisioned_maximum;azure_provisioned_minimum;azure_provisioned_total,Resources that are provisioned,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_poolid;metadata_sku;metadata_images;metadata_providername,average
azure_ready_average;azure_ready_count;azure_ready_maximum;azure_ready_minimum;azure_ready_total,Resources that are ready to be used,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_poolid;metadata_sku;metadata_images;metadata_providername,average
azure_starting_average;azure_starting_count;azure_starting_maximum;azure_starting_minimum;azure_starting_total,Resources that are starting,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_poolid;metadata_sku;metadata_images;metadata_providername,average
azure_total_average;azure_total_count;azure_total_maximum;azure_total_minimum;azure_total_total,Total Number of Resources,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_poolid;metadata_sku;metadata_images;metadata_providername,average
