azure_categorizedgatewayrequests_average;azure_categorizedgatewayrequests_count;azure_categorizedgatewayrequests_maximum;azure_categorizedgatewayrequests_minimum;azure_categorizedgatewayrequests_total,Gauge,Count,Number of gateway requests by categories (1xx/2xx/3xx/4xx/5xx),
azure_gatewayrequests_average;azure_gatewayrequests_count;azure_gatewayrequests_maximum;azure_gatewayrequests_minimum;azure_gatewayrequests_total,Gauge,Count,Number of gateway requests,
azure_kafkarestproxy.consumerrequest.m1_delta_average;azure_kafkarestproxy.consumerrequest.m1_delta_count;azure_kafkarestproxy.consumerrequest.m1_delta_maximum;azure_kafkarestproxy.consumerrequest.m1_delta_minimum;azure_kafkarestproxy.consumerrequest.m1_delta_total,Gauge,CountPerSecond,Number of consumer requests to Kafka REST proxy,
azure_kafkarestproxy.consumerrequestfail.m1_delta_average;azure_kafkarestproxy.consumerrequestfail.m1_delta_count;azure_kafkarestproxy.consumerrequestfail.m1_delta_maximum;azure_kafkarestproxy.consumerrequestfail.m1_delta_minimum;azure_kafkarestproxy.consumerrequestfail.m1_delta_total,Gauge,CountPerSecond,Consumer request exceptions,
azure_kafkarestproxy.consumerrequesttime.p95_average;azure_kafkarestproxy.consumerrequesttime.p95_count;azure_kafkarestproxy.consumerrequesttime.p95_maximum;azure_kafkarestproxy.consumerrequesttime.p95_minimum;azure_kafkarestproxy.consumerrequesttime.p95_total,Gauge,Milliseconds,Message latency in a consumer request through Kafka REST proxy,
azure_kafkarestproxy.consumerrequestwaitinginqueuetime.p95_average;azure_kafkarestproxy.consumerrequestwaitinginqueuetime.p95_count;azure_kafkarestproxy.consumerrequestwaitinginqueuetime.p95_maximum;azure_kafkarestproxy.consumerrequestwaitinginqueuetime.p95_minimum;azure_kafkarestproxy.consumerrequestwaitinginqueuetime.p95_total,Gauge,Milliseconds,Consumer REST proxy queue length,
azure_kafkarestproxy.messagesin.m1_delta_average;azure_kafkarestproxy.messagesin.m1_delta_count;azure_kafkarestproxy.messagesin.m1_delta_maximum;azure_kafkarestproxy.messagesin.m1_delta_minimum;azure_kafkarestproxy.messagesin.m1_delta_total,Gauge,CountPerSecond,Number of producer messages through Kafka REST proxy,
azure_kafkarestproxy.messagesout.m1_delta_average;azure_kafkarestproxy.messagesout.m1_delta_count;azure_kafkarestproxy.messagesout.m1_delta_maximum;azure_kafkarestproxy.messagesout.m1_delta_minimum;azure_kafkarestproxy.messagesout.m1_delta_total,Gauge,CountPerSecond,Number of consumer messages through Kafka REST proxy,
azure_kafkarestproxy.openconnections_average;azure_kafkarestproxy.openconnections_count;azure_kafkarestproxy.openconnections_maximum;azure_kafkarestproxy.openconnections_minimum;azure_kafkarestproxy.openconnections_total,Gauge,Count,Number of concurrent connections through Kafka REST proxy,
azure_kafkarestproxy.producerrequest.m1_delta_average;azure_kafkarestproxy.producerrequest.m1_delta_count;azure_kafkarestproxy.producerrequest.m1_delta_maximum;azure_kafkarestproxy.producerrequest.m1_delta_minimum;azure_kafkarestproxy.producerrequest.m1_delta_total,Gauge,CountPerSecond,Number of producer requests to Kafka REST proxy,
azure_kafkarestproxy.producerrequestfail.m1_delta_average;azure_kafkarestproxy.producerrequestfail.m1_delta_count;azure_kafkarestproxy.producerrequestfail.m1_delta_maximum;azure_kafkarestproxy.producerrequestfail.m1_delta_minimum;azure_kafkarestproxy.producerrequestfail.m1_delta_total,Gauge,CountPerSecond,Producer request exceptions,
azure_kafkarestproxy.producerrequesttime.p95_average;azure_kafkarestproxy.producerrequesttime.p95_count;azure_kafkarestproxy.producerrequesttime.p95_maximum;azure_kafkarestproxy.producerrequesttime.p95_minimum;azure_kafkarestproxy.producerrequesttime.p95_total,Gauge,Milliseconds,Message latency in a producer request through Kafka REST proxy,
azure_kafkarestproxy.producerrequestwaitinginqueuetime.p95_average;azure_kafkarestproxy.producerrequestwaitinginqueuetime.p95_count;azure_kafkarestproxy.producerrequestwaitinginqueuetime.p95_maximum;azure_kafkarestproxy.producerrequestwaitinginqueuetime.p95_minimum;azure_kafkarestproxy.producerrequestwaitinginqueuetime.p95_total,Gauge,Milliseconds,Producer REST proxy queue length,
azure_numactiveworkers_average;azure_numactiveworkers_count;azure_numactiveworkers_maximum;azure_numactiveworkers_minimum;azure_numactiveworkers_total,Gauge,Count,Number of Active Workers,
azure_pendingcpu_average;azure_pendingcpu_count;azure_pendingcpu_maximum;azure_pendingcpu_minimum;azure_pendingcpu_total,Gauge,Count,Pending CPU Requests in YARN,
azure_pendingmemory_average;azure_pendingmemory_count;azure_pendingmemory_maximum;azure_pendingmemory_minimum;azure_pendingmemory_total,Gauge,Count,Pending Memory Requests in YARN,
