azure_c2d.commands.failure_average;azure_c2d.commands.failure_count;azure_c2d.commands.failure_maximum;azure_c2d.commands.failure_minimum;azure_c2d.commands.failure_total,Gauge,Count,The count of all failed command requests initiated from IoT Central,
azure_c2d.commands.requestsize_average;azure_c2d.commands.requestsize_count;azure_c2d.commands.requestsize_maximum;azure_c2d.commands.requestsize_minimum;azure_c2d.commands.requestsize_total,Gauge,Bytes,Request size of all command requests initiated from IoT Central,
azure_c2d.commands.responsesize_average;azure_c2d.commands.responsesize_count;azure_c2d.commands.responsesize_maximum;azure_c2d.commands.responsesize_minimum;azure_c2d.commands.responsesize_total,Gauge,Bytes,Response size of all command responses initiated from IoT Central,
azure_c2d.commands.success_average;azure_c2d.commands.success_count;azure_c2d.commands.success_maximum;azure_c2d.commands.success_minimum;azure_c2d.commands.success_total,Gauge,Count,The count of all successful command requests initiated from IoT Central,
azure_c2d.property.read.failure_average;azure_c2d.property.read.failure_count;azure_c2d.property.read.failure_maximum;azure_c2d.property.read.failure_minimum;azure_c2d.property.read.failure_total,Gauge,Count,The count of all failed property reads initiated from IoT Central,
azure_c2d.property.read.success_average;azure_c2d.property.read.success_count;azure_c2d.property.read.success_maximum;azure_c2d.property.read.success_minimum;azure_c2d.property.read.success_total,Gauge,Count,The count of all successful property reads initiated from IoT Central,
azure_c2d.property.update.failure_average;azure_c2d.property.update.failure_count;azure_c2d.property.update.failure_maximum;azure_c2d.property.update.failure_minimum;azure_c2d.property.update.failure_total,Gauge,Count,The count of all failed property updates initiated from IoT Central,
azure_c2d.property.update.success_average;azure_c2d.property.update.success_count;azure_c2d.property.update.success_maximum;azure_c2d.property.update.success_minimum;azure_c2d.property.update.success_total,Gauge,Count,The count of all successful property updates initiated from IoT Central,
azure_connecteddevicecount_average;azure_connecteddevicecount_count;azure_connecteddevicecount_maximum;azure_connecteddevicecount_minimum;azure_connecteddevicecount_total,Gauge,Count,Number of devices connected to IoT Central,
azure_d2c.property.read.failure_average;azure_d2c.property.read.failure_count;azure_d2c.property.read.failure_maximum;azure_d2c.property.read.failure_minimum;azure_d2c.property.read.failure_total,Gauge,Count,The count of all failed property reads initiated from devices,
azure_d2c.property.read.success_average;azure_d2c.property.read.success_count;azure_d2c.property.read.success_maximum;azure_d2c.property.read.success_minimum;azure_d2c.property.read.success_total,Gauge,Count,The count of all successful property reads initiated from devices,
azure_d2c.property.update.failure_average;azure_d2c.property.update.failure_count;azure_d2c.property.update.failure_maximum;azure_d2c.property.update.failure_minimum;azure_d2c.property.update.failure_total,Gauge,Count,The count of all failed property updates initiated from devices,
azure_d2c.property.update.success_average;azure_d2c.property.update.success_count;azure_d2c.property.update.success_maximum;azure_d2c.property.update.success_minimum;azure_d2c.property.update.success_total,Gauge,Count,The count of all successful property updates initiated from devices,
azure_d2c.telemetry.ingress.allprotocol_average;azure_d2c.telemetry.ingress.allprotocol_count;azure_d2c.telemetry.ingress.allprotocol_maximum;azure_d2c.telemetry.ingress.allprotocol_minimum;azure_d2c.telemetry.ingress.allprotocol_total,Gauge,Count,Number of device-to-cloud telemetry messages attempted to be sent to the IoT Central application,
azure_d2c.telemetry.ingress.success_average;azure_d2c.telemetry.ingress.success_count;azure_d2c.telemetry.ingress.success_maximum;azure_d2c.telemetry.ingress.success_minimum;azure_d2c.telemetry.ingress.success_total,Gauge,Count,Number of device-to-cloud telemetry messages successfully sent to the IoT Central application,
azure_dataexport.error_average;azure_dataexport.error_count;azure_dataexport.error_maximum;azure_dataexport.error_minimum;azure_dataexport.error_total,Gauge,Count,Number of errors encountered for data export,
azure_dataexport.messages.filtered_average;azure_dataexport.messages.filtered_count;azure_dataexport.messages.filtered_maximum;azure_dataexport.messages.filtered_minimum;azure_dataexport.messages.filtered_total,Gauge,Count,Number of messages that have passed through filters in data export,
azure_dataexport.messages.received_average;azure_dataexport.messages.received_count;azure_dataexport.messages.received_maximum;azure_dataexport.messages.received_minimum;azure_dataexport.messages.received_total,Gauge,Count,"Number of messages incoming to data export, before filtering and enrichment processing",
azure_dataexport.messages.written_average;azure_dataexport.messages.written_count;azure_dataexport.messages.written_maximum;azure_dataexport.messages.written_minimum;azure_dataexport.messages.written_total,Gauge,Count,Number of messages written to a destination,
azure_dataexport.statuschange_average;azure_dataexport.statuschange_count;azure_dataexport.statuschange_maximum;azure_dataexport.statuschange_minimum;azure_dataexport.statuschange_total,Gauge,Count,Number of status changes,
azure_devicedatausage_average;azure_devicedatausage_count;azure_devicedatausage_maximum;azure_devicedatausage_minimum;azure_devicedatausage_total,Gauge,Bytes,Bytes transferred to and from any devices connected to IoT Central application,
azure_provisioneddevicecount_average;azure_provisioneddevicecount_count;azure_provisioneddevicecount_maximum;azure_provisioneddevicecount_minimum;azure_provisioneddevicecount_total,Gauge,Count,Number of devices provisioned in IoT Central application,
